gelanggang,jenis_lapangan,alamat,kelurahan,kecamatan,wilayah,new_lon,new_lat
Lapangan Sepakbola Pegadungan,Lapangan Sepakbola Terbuka,Jalan Peta Utara,Pegadungan,Kalideres,Jakarta Barat,106.7025501,-6.1415882
Lapangan Sepakbola Semanan,Lapangan Sepakbola Terbuka,Jalan Raya Semanan,Semanan,Kalideres,Jakarta Barat,106.7131724,-6.1563242
Lapangan Sepakbola Srengseng,Lapangan Sepakbola Terbuka,Lapangan Sepak Bola Srengseng,Srengseng,Kembangan,Jakarta Barat,106.75850105,-6.2036045
Lapangan Joglo,Lapangan Sepakbola Terbuka,Jalan DPR RI Joglo,Meruya Selatan,Kembangan,Jakarta Barat,106.737356,-6.2189625
Lapangan Sepakbola Kedoya,Lapangan Sepakbola Terbuka,Jalan Pilar Raya,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,106.75949,-6.1834368
Lapangan sepakbola Kebon Jeruk,Lapangan Sepakbola Terbuka,Jalan Raya Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,106.7824235,-6.1997493
Lapangan Sepakbola Persima,Lapangan Sepakbola Terbuka,Jalan Kali Anyar IX,Tambora,Tambora,Jakarta Barat,106.7972684,-6.1582771
Lapangan Sepakbola Wijaya Kusuma,Lapangan Sepakbola Terbuka,Jalan Anggrek Garuda,Kemanggisan,Palmerah,Jakarta Barat,106.7951682,-6.1933695
Lapangan Sepakbola Terbuka,Lapangan Sepakbola Terbuka,Jalan Cendrawasih X No. 10,Cengkareng Barat,Cengkareng,Jakarta Barat,106.7199035,-6.144012
Lapangan Sepakbola Karet Tengsin,Lapangan Sepakbola Terbuka,Jalan Karet Pasar Baru Barat II,Karet Tengsin,Tanah Abang,Jakarta Pusat,106.813999,-6.2064384
Lapangan Sepakbola Pejompongan,Lapangan Sepakbola Terbuka,Jalan Danau Tondano,Bendungan Hilir,Tanah Abang,Jakarta Pusat,106.8085838,-6.2064471
Lapangan Sepakbola PORS Serdang,Lapangan Sepakbola Terbuka,Jalan Lapangan PORS,Serdang,Kemayoran,Jakarta Pusat,106.8625329,-6.1615578
Lapangan sepak bola setu,Lapangan Sepakbola Terbuka,Jalan Bantar Jati,Setu,Cipayung,Jakarta Timur,106.918775,-6.3174699
Lapangan Sepak bola Klender,Lapangan Sepakbola Terbuka,Jalan Malaka I,Malaka sari,Duren Sawit,Jakarta Timur,106.9296999,-6.2227137
Lapangan sepak bola cakung,Lapangan Sepakbola Terbuka,Jalan Kayu Tinggi,Cakung,Cakung,Jakarta Timur,106.9453045,-6.1842222
Lapangan sepak bola kramat jati,Lapangan Sepakbola Terbuka,Jalan Raya Bogor,Rambutan,Ciracas,Jakarta Timur,106.8708052,-6.2874334
Lapangan sepak bola gedong,Lapangan Sepakbola Terbuka,Jalan Raya Condet ,Condet,Pasar Rebo,Jakarta Timur,0,0
Lapangan sepak bola cijantung,Lapangan Sepakbola Terbuka,Jalan Stadion Mini ,Cijantung,Pasar Rebo,Jakarta Timur,106.8538058,-6.3222589
Lapang sepak bola kelapa dua wetan,Lapangan Sepakbola Terbuka,Jalan Raya PKP ,Kelapa Dua Wetan,Ciracas,Jakarta Timur,106.8807804,-6.3396398
Lapangan sepak bola lubang buaya,Lapangan Sepakbola Terbuka,Lapangan Sepak Bola SMP Negeri 81 Jakarta,Lubang buaya,Cipayung,Jakarta Timur,106.90513660438626,-6.287777
Lapangan sepak bola ceger,Lapangan Sepakbola Terbuka,Jalan Haji Siun ,Ceger,Cipayung,Jakarta Timur,106.8859833,-6.3119471
Lapangan Sepak Bola Blok.S,Lapangan Sepakbola Terbuka,Lapangan Blok S,Rawa Barat,Kebayoran baru,Jakarta Selatan,106.81471629280331,-6.2366769
Lapangan Sepakbola A. Yani,Lapangan Sepakbola Terbuka,Jalan Praja,Kebayoran Lama Utara,Kebayoran lama,Jakarta Selatan,106.7796618,-6.2492664
Lapangan Sepak Bola Kebagusan,Lapangan Sepakbola Terbuka,Lapangan Sepak Bola Kebagusan,Lenteng Agung,Jagakarsa,Jakarta Selatan,106.8303783,-6.314182000000001
Lapangan Sepak Bola Jagakarsa,Lapangan Sepakbola Terbuka,Jalan Sirsak,Jagakarsa,Jagakarsa,Jakarta Selatan,106.8216646,-6.3345745
Lapangan Sepak Bola Sukatani,Lapangan Sepakbola Terbuka,Jalan Nangka,Tanjung Barat,Jagakarsa,Jakarta Selatan,106.8466664,-6.3108784
Lapangan Sepak Bola Pesanggrahan,Lapangan Sepakbola Terbuka,Jalan Pesanggrahan,Pesanggrahan,Pesanggrahan,Jakarta Selatan,106.76311195320773,-6.2554579
Lapangan Bola I,Lapangan Sepakbola Terbuka,Jalan Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Bola II,Lapangan Sepakbola Terbuka,Jalan Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Bola III,Lapangan Sepakbola Terbuka,Jalan Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Sepakbola Kalibaru,Lapangan Sepakbola Terbuka,Lapangan Sepak Bola RW 08,Kali Baru,Cilincing,Jakarta Utara,106.93126338825871,-6.1056636
Lapangan Sepakbola Muara Angke,Lapangan Sepakbola Terbuka,Jalan Dermaga Muara RW 11,Pluit,Penjaringan,Jakarta Utara,106.7713306,-6.107394
Lapangan Sepakbola Rorotan,Lapangan Sepakbola Terbuka,Jalan Malaka I RT.07 RW 12,Rorotan,Cilincing,Jakarta Utara,106.9547407,-6.1373173
Lapangan Sepakbola Pulau Untung,Lapangan Sepakbola Terbuka,Pulau Untung,Pulau Untung Jawa,Kepulauan Seribu Selatan,Kepulauan Seribu,106.74684611119226,-6.0358085
Lapangan Sepakbola Pulau Karya,Lapangan Sepakbola Terbuka,Pulau Karya,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.60103055813252,-5.7350152
Lapangan Sepakbola Pulau Pramuka,Lapangan Sepakbola Terbuka,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.61371364214162,-5.74579035
Lapangan Sepakbola Pulau Tidung,Lapangan Sepakbola Terbuka,Pulau Tidung,Pulau Tidung,Kepulauan Seribu Selatan,Kepulauan Seribu,106.49956856604933,-5.79886655
Lapangan Sepakbola Pulau Kelapa,Lapangan Sepakbola Terbuka,Pulau Kelapa,Pulau Harapan,Kepulauan Seribu Utara,Kepulauan Seribu,106.56814725766398,-5.654544
Stadion Bola Pondok Bambu,Stadion Sepakbola,Lapangan Bola Pondok Bambu,Pondok Bambu,Duren Sawit,Jakarta Timur,106.90354986677511,-6.2247401
Stadion Sepakbola Gongseng,Stadion Sepakbola,Jalan Raya Gongseng  ,Pasar Rebo,Cijantung,Jakarta Timur,106.8581839,-6.3263991
Stadion Sepakbola Ciracas,Stadion Sepakbola,Jalan Raya Bogor Km 25,Ciracas,Ciracas,Jakarta Timur,106.8676752,-6.3024989
Stadion Sepakbola Cendrawasih,Stadion Sepakbola,Jalan Cendrawasih x No. 10,Cengkareng Barat,Cengkareng,Jakarta Barat,106.7199035,-6.144012
Stadion Sepakbola Tamansari,Stadion Sepakbola,Stadion Tamansari,Mangga Besar,Taman Sari,Jakarta Barat,106.8252284,-6.1513991
Stadion Sepakbola GMSB,Stadion Sepakbola,Jalan Haji R. Rasuna Said  ,Kuningan Timur,Setiabudi,Jakarta Selatan,106.8281344,-6.2352976
Stadion Sepakbola GOR Ragunan,Stadion Sepakbola,Jalan Harsono RM. Ragunan,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Stadion Sepakbola VIJ,Stadion Sepakbola,Jalan Biak N. 27 ,Cideng,Gambir,Jakarta Pusat,106.8082559,-6.1666663
Stadion Sepakbola Banteng,Stadion Sepakbola,Jalan Lapangan Banteng Utara,Pasar Baru,Sawah Besar,Jakarta Pusat,106.8348114,-6.1688359
Stadion Sepakbola GOR Sunter,Stadion Sepakbola,Jalan Danau Sunter Selatan No.1,Sunter Agung,Tanjung Priok,Jakarta Utara,106.8744764,-6.1458819
Stadion Sepakbola Rawa Badak,Stadion Sepakbola,Jalan Alur Laut,Rawa Badak,Koja,Jakarta Utara,106.8992039,-6.1235496
Stadion Sepakbola Tugu,Stadion Sepakbola,Jalan Pegangsaan Dua,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,106.9161696,-6.154665
Stadion Kamal Muara,Stadion Sepakbola,Jalan Kamal Muara ,Kamal Muara,Penjaringan,Jakarta Utara,106.7175582,-6.0963806
Lapangan Basket Outdoor Tri On Tri GOR CIRACAS,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Raya Bogor Km 25,Ciracas,Ciracas,Jakarta Timur,106.8676752,-6.3024989
Lapangan Basket Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Pemuda No.6,Rawamangun,Pulo Gadung,Jakarta Timur,106.8861388,-6.1933207
Lapangan Tenis Terbuka GOR Rawamangun,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Pemuda No.6,Rawamangun,Pulo Gadung,Jakarta Timur,106.8861388,-6.1933207
Lapangan Tenis Pondok Bambu,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Balai Rakyat,Pondok Bambu,Duren Sawit,Jakarta Timur,106.90274069987845,-6.2247988
Lapangan Tenis Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Raya Gongseng  ,Cijantung,Pasar Rebo,Jakarta Timur,0,0
Lapangan Fitnes Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Pemuda No.6,Rawamangun,Pulo Gadung,Jakarta Timur,106.8861388,-6.1933207
Lapangan Fitnes Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Raya Bogor Km 25,Ciracas,Ciracas,Jakarta Timur,106.8676752,-6.3024989
Lapangan Basket Luar,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Harsono RM. Ragunan,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Tenis,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Haji R. Rasuna Said  ,Kuningan Timur,Setiabudi,Jakarta Selatan,106.8281344,-6.2352976
Fasilitas Lapangan Tenis Bulungan (Semi Indoor),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Hang Tuah X,Gunung,Kebayoran Baru,Jakarta Selatan,106.796846,-6.2388186
Lapangan Tenis PPOP Ragunan,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Fitnes Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan,106.8210098,-6.2995586
Lapangan Luar (HOKI),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Haji R. Rasuna Said  ,Kuningan Timur,Setiabudi,Jakarta Selatan,106.8281344,-6.2352976
Lapangan Serbaguna (Lap Hockey),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Bahari 14,Gandaria Selatan,Cilandak,Jakarta Selatan,106.7948019,-6.2797598
Lapangan Serbaguna (Lap Hockey),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Peninggaran T.I,Pesanggrahan,Pesanggrahan,Jakarta Selatan,106.7751596,-6.2430577
Lapangan Serbaguna (Lap Hockey),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Kebon Mangga I,Cipulir,Kebayoran Lama,Jakarta Selatan,106.7777096,-6.2343356
Lapangan Serbaguna (Lap Hockey),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Haji R. Rasuna Said  ,Kuningan Timur,Setiabudi,Jakarta Selatan,106.8281344,-6.2352976
Lapangan Serbaguna (Lap Hockey),"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Rasamala VII,Menteng Dalam,Tebet,Jakarta Selatan,106.8380587,-6.2311215
Lapangan Basket terbuka Angsana Raya Cengkareng Timur,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Angsana Raya Cengkareng Timur,Cengkareng,Cengkareng,Jakarta Barat,106.7394744,-6.1474667
Lapangan Tenis / Futsal,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Cendrawasih X No. 10,Cengkareng,Cengkareng,Jakarta Barat,106.7199035,-6.144012
Lapangan Tenis Cengkareng,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Utama Raya,Cengkareng,Cengkareng,Jakarta Barat,106.7240468,-6.1499213
Lapangan Tenis Jati Pulo RW 03,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)","Jalan Tunjung Raya Raya, RW 03",Jati Pulo,Palmerah,Jakarta Barat,0,0
Lapangan Voli Kampung Belakang Kamal,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Kampung Belakang RT. 11/03,Kamal,Kalideres,Jakarta Barat,0,0
Lapangan Tenis Rawa Badak,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Alur Laut,Rawa Badak,Koja,Jakarta Utara,106.8992039,-6.1235496
Lapangan Fitnes Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Danau Sunter Selatan No.1,Sunter Agung,Tanjung Priok,Jakarta Utara,106.8744764,-6.1458819
Lapangan Fitnes Terbuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Jalan Stasiun Senen,Senen,Senen,Jakarta Pusat,106.8444789,-6.1744969
Lapangan Tenis Pulau Pramuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
Lapangan Voli Pulau Untung Jawa,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Untung Jawa,Untung Jawa,Kepulauan Seribu Selatan,Kepulauan Seribu,106.70774495,-5.9793898500000005
Lapangan Voli Pulau Panggang,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
Lapangan Voli Pulau Karya,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
Lapangan Voli Pantai Pulau Untung Jawa,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Untung Jawa,Pulau Untung Jawa,Kepulauan Seribu Selatan,Kepulauan Seribu,106.70774495,-5.9793898500000005
Lapangan Voli Pantai Pulau Karya,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
Lapangan Voli Pulau Pramuka,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
Lapangan Voli Pulau Panggang,"Lapangan Olahraga Terbuka (Basket, Tenis, Voly, Bulutangkis Dan Fitnes Outdoor)",Kelurahan Pulau Panggang,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,106.6019822,-5.7385907
